弯弯新聞,#genre#
龍華電影台,http://pix.zbds.top/litv/litv-longturn03
靖洋戲劇台,http://pix.zbds.top/litv/4gtv-4gtv045
TVBS綜藝台,http://pix.zbds.top/4gtv/284
TVBS歡樂台,http://pix.zbds.top/litv/4gtv-4gtv068
TVBS精采台,http://pix.zbds.top/litv/4gtv-4gtv067
TVBS台劇台,http://pix.zbds.top/4gtv/285
八大精彩台,http://pix.zbds.top/litv/4gtv-4gtv034
八大綜藝台,http://pix.zbds.top/litv/4gtv-4gtv039
ELTA娛樂台,http://pix.zbds.top/litv/4gtv-4gtv070
影迷數位紀實台,http://pix.zbds.top/4gtv/212
影迷數位電影台,http://pix.zbds.top/litv/4gtv-4gtv011
AMC電影台,http://pix.zbds.top/litv/4gtv-4gtv017
CatchPlay電影台,http://pix.zbds.top/litv/4gtv-4gtv076
MyCinemaEuropeHD我的歐洲電影,http://pix.zbds.top/4gtv/176
公視戲劇台,http://pix.zbds.top/litv/4gtv-4gtv042
采昌影劇台,http://pix.zbds.top/litv/4gtv-4gtv049
台灣戲劇台,http://pix.zbds.top/litv/litv-longturn22
戲劇免費看1台,http://pix.zbds.top/4gtv/270
戲劇免費看2台,http://pix.zbds.top/4gtv/244
經典電影台,http://pix.zbds.top/4gtv/201
電影免費看2台,http://pix.zbds.top/4gtv/245
電影原聲台CMusic,http://pix.zbds.top/4gtv/218
花系列經典劇場,http://pix.zbds.top/4gtv/279
CinemaWorld,http://pix.zbds.top/4gtv/225
HITS頻道,http://pix.zbds.top/4gtv/186
RockAction,http://pix.zbds.top/4gtv/180
RockEntertainment,http://pix.zbds.top/4gtv/275
金光布袋戲,http://pix.zbds.top/4gtv/236
霹靂布袋戲,http://pix.zbds.top/4gtv/301
Classica古典樂,http://pix.zbds.top/litv/4gtv-4gtv059
Lifetime娛樂頻道,http://pix.zbds.top/4gtv/217
MTVLiveHD音樂頻道,http://pix.zbds.top/4gtv/213
MezzoLive,http://pix.zbds.top/litv/4gtv-4gtv083
豬哥亮歌廳秀,http://pix.zbds.top/litv/4gtv-4gtv006
TraceUrban,http://pix.zbds.top/litv/4gtv-4gtv082
韓國娛樂台,http://pix.zbds.top/litv/4gtv-4gtv016


海外其他,#genre#
民視旅遊台,http://pix.zbds.top/litv/litv-ftv07
靖天映畫台,http://pix.zbds.top/litv/4gtv-4gtv055
靖天卡通台,http://pix.zbds.top/litv/4gtv-4gtv044
龍華卡通台,http://pix.zbds.top/litv/litv-longturn01
